study_id,site_id,longitude,latitude,refYear
JdA,1,-3.0353964501057127,35.938994111858705,2019
JdA,2,-5.609765112174526,36.01748916207427,2019
JdA,3,-5.5891057763692045,36.019267611501526,2019
JdA,4,-5.565248783738072,36.022874834550656,2019
JdA,5,-5.663098008406337,36.05627551171043,2019
JdA,6,-5.642207194350561,36.05064212355201,2019
JdA,7,-5.617096403957078,36.042190684792054,2019
JdA,8,-5.587942999994688,36.04134298164601,2019
JdA,9,-5.558096965077791,36.04151226308408,2019
JdA,10,-5.529023407456154,36.045325506874796,2019
JdA,11,-5.502350909271809,36.051112304691664,2019
JdA,12,-5.468902064136972,36.05427716856952,2019
JdA,13,-5.452782668131232,36.0562189672446,2019
JdA,14,-5.794260667675765,36.08339583380156,2019
JdA,15,-5.759190311476464,36.08212253276468,2019
JdA,16,-5.736452151017672,36.07655301717823,2019
JdA,17,-5.708694610233982,36.07381167736606,2019
JdA,18,-5.6767211394086825,36.07413477182921,2019
JdA,19,-5.647943000011167,36.071342980912796,2019
JdA,20,-5.617942999993128,36.07134298091309,2019
JdA,21,-5.587942999991844,36.07134298091467,2019
JdA,22,-5.5579430000012735,36.07134298091672,2019
JdA,23,-5.527943000005966,36.071342980914025,2019
JdA,24,-5.497942999993662,36.07134298091255,2019
JdA,25,-5.467943000004571,36.07134298091883,2019
JdA,26,-5.442755337314057,36.07492398371122,2019
JdA,27,-5.8204073058139025,36.10848469476518,2019
JdA,28,-5.797680045245083,36.101683233117846,2019
JdA,29,-5.767827339089629,36.10149248197025,2019
JdA,30,-5.737942999979616,36.10134298019488,2019
JdA,31,-5.707943000011139,36.101342980195234,2019
JdA,32,-5.677943000000785,36.101342980194666,2019
JdA,33,-5.6479430000102235,36.10134298019361,2019
JdA,34,-5.6179429999907695,36.10134298019547,2019
JdA,35,-5.587942999996615,36.101342980192314,2019
JdA,36,-5.557942999999027,36.10134298018862,2019
JdA,37,-5.527943000008323,36.101342980191234,2019
JdA,38,-5.497942999994203,36.10134298019082,2019
JdA,39,-5.467942999994651,36.101342980190665,2019
JdA,40,-5.44537949482425,36.102608663729576,2019
JdA,41,-5.849435459632797,36.14018069969518,2019
JdA,42,-5.827199647569593,36.132023568492606,2019
JdA,43,-5.797943000014971,36.1313429794282,2019
JdA,44,-5.767942999998625,36.131342979429334,2019
JdA,45,-5.737942999988802,36.131342979424474,2019
JdA,46,-5.707943000006947,36.13134297942084,2019
JdA,47,-5.67794299999743,36.13134297942634,2019
JdA,48,-5.647943000009942,36.13134297942978,2019
JdA,49,-5.617942999989353,36.13134297942903,2019
JdA,50,-5.587943000000327,36.131342979430684,2019
JdA,51,-5.5579430000029335,36.131342979429405,2019
JdA,52,-5.527943000002599,36.13134297942798,2019
JdA,53,-5.497943000002013,36.13134297942703,2019
JdA,54,-5.46794299999054,36.131342979424765,2019
JdA,55,-5.446492706828812,36.12894825817407,2019
JdA,56,-5.882872349617099,36.16969919947371,2019
JdA,57,-5.857230591199592,36.16206634575386,2019
JdA,58,-5.827942999995734,36.161342978705555,2019
JdA,59,-5.797943000010536,36.16134297870785,2019
JdA,60,-5.767942999999163,36.16134297870926,2019
JdA,61,-5.737942999992896,36.1613429787111,2019
JdA,62,-5.707942999998597,36.16134297871749,2019
JdA,63,-5.67794300000197,36.16134297871447,2019
JdA,64,-5.6479430000061255,36.16134297871058,2019
JdA,65,-5.61794299998748,36.16134297871503,2019
JdA,66,-5.5879430000054215,36.161342978711275,2019
JdA,67,-5.557943000003261,36.16134297870902,2019
JdA,68,-5.527942999995084,36.161342978715126,2019
JdA,69,-5.497943000008595,36.16134297871669,2019
JdA,70,-5.467942999993581,36.16134297871265,2019
JdA,71,-5.444360128339109,36.164990914823036,2019
JdA,72,-5.420556348067409,36.17633816704243,2019
JdA,73,-5.370943277529193,36.17225813483053,2019
JdA,74,-5.348691905540715,36.165926324815935,2019
JdA,75,-6.053739967477872,36.20556691578445,2019
JdA,76,-6.0344089586872895,36.196963706812525,2019
JdA,77,-6.007290524590515,36.19485358206851,2019
JdA,78,-5.978017185126473,36.19272293007745,2019
JdA,79,-5.948135395793169,36.19510747042838,2019
JdA,80,-5.917006604749005,36.19469865985586,2019
JdA,81,-5.887942759582582,36.19134321873839,2019
JdA,82,-5.857943000000713,36.191342977974045,2019
JdA,83,-5.827942999995622,36.191342977972894,2019
JdA,84,-5.797943000003877,36.191342977975005,2019
JdA,85,-5.767943000004541,36.191342977974436,2019
JdA,86,-5.73794299999312,36.191342977968944,2019
JdA,87,-5.7079429999941915,36.191342977965284,2019
JdA,88,-5.677943000010121,36.19134297796586,2019
JdA,89,-5.647942999996276,36.19134297797086,2019
JdA,90,-5.617942999993682,36.19134297796879,2019
JdA,91,-5.587943000009552,36.19134297796582,2019
JdA,92,-5.557942999997029,36.19134297796943,2019
JdA,93,-5.527942999992558,36.191342977969036,2019
JdA,94,-5.497943000011297,36.19134297796737,2019
JdA,95,-5.467942999995445,36.19134297796841,2019
JdA,96,-5.437942999991016,36.19134297796761,2019
JdA,97,-5.408234469062075,36.192590834624404,2019
JdA,98,-5.377494995987777,36.19193033817832,2019
JdA,99,-5.348144380593209,36.19151539526373,2019
JdA,100,-5.330601690356025,36.19938828505196,2019
JdA,101,-6.060280803450898,36.22540902424125,2019
JdA,102,-6.03794299999906,36.2213429772305,2019
JdA,103,-6.00794299999823,36.2213429772274,2019
JdA,104,-5.9779429999944815,36.22134297722979,2019
JdA,105,-5.947942999999962,36.22134297723541,2019
JdA,106,-5.917942999998175,36.22134297723153,2019
JdA,107,-5.887943000002949,36.22134297722522,2019
JdA,108,-5.85794299999945,36.22134297722497,2019
JdA,109,-5.827942999994162,36.221342977227906,2019
JdA,110,-5.797943000008072,36.221342977224,2019
JdA,111,-5.767943000001096,36.22134297722408,2019
JdA,112,-5.737942999993681,36.22134297723147,2019
JdA,113,-5.7079430000015385,36.22134297722998,2019
JdA,114,-5.677943000006398,36.22134297722704,2019
JdA,115,-5.64794299999405,36.2213429772259,2019
JdA,116,-5.617943000002646,36.2213429772236,2019
JdA,117,-5.587942999999191,36.221342977227486,2019
JdA,118,-5.557942999996315,36.22134297723107,2019
JdA,119,-5.5279429999985155,36.22134297722805,2019
JdA,120,-5.497943000009479,36.22134297722701,2019
JdA,121,-5.467942999995286,36.22134297722727,2019
JdA,122,-5.437942999998007,36.22134297722362,2019
JdA,123,-5.407942999994048,36.22134297722487,2019
JdA,124,-5.377943000002449,36.22134297722907,2019
JdA,125,-5.347943000005657,36.221342977227465,2019
JdA,126,-5.3255439702845,36.22376085298835,2019
JdA,127,-6.0850896347107355,36.261503111436134,2019
JdA,128,-6.067107453392389,36.252024326758885,2019
JdA,129,-6.037943000000334,36.25134297647736,2019
JdA,130,-6.007943000004605,36.25134297647548,2019
JdA,131,-5.977942999992953,36.25134297646994,2019
JdA,132,-5.947943000000612,36.251342976464905,2019
