site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.17786260245658614,0.08790338997136249
ES1ALM01,2022,37.22261,-6.49975,0.24383599750271268,0.1447422595664073
ES1AZD01,2022,37.25774,-6.20492,0.38564696589918845,0.22843993862084191
ES1AZN01,2022,37.23483,-6.16897,0.3574580068951825,0.22083706307071838
ES1BON01,2022,37.331111,-6.667778,0.1419256695439254,0.08648794929949205
ES1CAI01,2022,37.3,-6.689722,0.20075721558108245,0.12532582688649982
ES1CAM01,2022,37.27652,-6.22105,0.2542387120199411,0.17915120315305064
ES1CON01,2022,37.29183,-6.75247,0.1680671651299896,0.08790010620305827
ES1CRU01,2022,37.33639,-6.48321,0.315226372458959,0.20214725958591664
ES1CUN01,2022,37.23293,-6.55494,0.2624620126325091,0.09455200778459355
ES1CUT01,2022,37.34943,-6.50578,0.2143872340641541,0.09663998696387667
ES1DEH01,2022,37.35591,-6.60393,0.13359801883691574,0.09757412404864088
ES1DUN01,2022,37.36809,-6.54945,0.09191296241592076,0.048152198851758636
ES1ECO01,2022,37.30863,-6.46184,0.31110721939104774,0.12609383980914518
ES1ENT01,2022,37.18759,-6.49773,0.1961209706640041,0.10602700928190018
ES1ESP01,2022,37.28172,-6.55538,0.15315196017471622,0.08409693155426404
ES1HER01,2022,37.277778,-6.600278,0.14042725301244408,0.04910530404000022
ES1HIN01,2022,37.28925,-6.43359,0.4156732631020528,0.22613059571171049
ES1MAJ01,2022,37.22494,-6.19798,0.3685539951169895,0.20795823445408537
ES1MEI01,2022,37.24388,-6.60103,0.2089373926249736,0.07681488526713227
ES1MIA01,2022,37.305556,-6.6125,0.12354540377676988,0.04329744949861471
ES1PER01,2022,37.28306,-6.38197,0.286232755695658,0.10489155041865186
ES1PIN01,2022,37.19594,-6.76125,0.482149514865734,0.23430949194405123
ES1POI01,2022,37.234167,-6.383889,0.36040747929271727,0.16496906603279687
ES1POZ01,2022,37.24921,-6.66097,0.35639732685990005,0.20670132516741782
ES1ROC01,2022,37.12381,-6.50691,0.24932536519069695,0.18287724429883706
ES1TOR01,2022,37.24988,-6.23855,0.2669693827815809,0.14859520709718452
ES1URB01,2022,37.28806,-6.67508,0.20606196413917421,0.06304129907721412
ES1VIE01,2022,37.23926,-6.2808,0.2612796765689116,0.20219022164300754
ES1VIS01,2022,37.2167,-6.30381,0.1484321127325202,0.11369005395671519
AC,2023,37.604103,-5.8702192,0.09744747043879408,0.02696794076399951
AHQ,2023,37.4348103,-5.9442168,0.04510159143989421,0.019903271878579796
AT,2023,37.5836922,-5.9345506,0.06769626414748914,0.031739389917735415
PPE,2023,37.5481628,-5.9094094,0.06605686304425094,0.02752280653702791
PQ,2023,37.4235617,-6.0163071,0.08237456401327745,0.03668224550647745
PSJ,2023,37.488445,-5.9475667,0.05432053495406978,0.021750509886479343
RCB,2023,37.5240052,-5.8818075,0.04755806012037079,0.023428086207930698
RCV,2023,37.488073,-5.8837766,0.039178164037222095,0.01719897980457865
RJ1,2023,37.476992,-5.9211163000000004,0.04635122500423647,0.02499095776146824
RJ16,2023,37.4701785,-5.9172,0.04312730628325794,0.029109252925780944
RJ2,2023,37.4719691,-5.901102,0.04290187783594918,0.029420722299717043
RMI,2023,37.7099967,-5.9349672,0.46785177846207754,0.1633621314449626
RMO,2023,37.699565,-5.8639758,0.47540764480606407,0.2090264503115004
SSH,2023,37.6708586,-5.497438,0.07335383617344907,0.03593944493379252
SSM,2023,37.6163601,-5.6561561,0.09617000300248006,0.04102645647708325
SSS,2023,37.6784449,-5.447756,0.07342930845265698,0.03411558257471544
Casilla_Aranda,2020,37.624877,-4.518691,0.3406802803916654,0.18802936732536124
Casona,2020,37.74612,-3.62784,0.418729254076057,0.18687885138289628
Cortijo_Guadiana_extensivo,2020,37.897958,-3.209407,0.24242584362007147,0.13186945477214113
David_Lantejuela,2020,37.353015,-5.298202,0.09102629760939351,0.06275110047499925
La_Luna,2020,38.185758,-4.750848,0.4228491855140524,0.19848098870893446
Monva,2020,37.87143,-3.588215,0.3143710555607532,0.1241969375751648
Moraleda,2020,37.181332,-3.975632,0.24862102429694213,0.0862447353149649
Peña_del_Gallo,2020,36.994083,-5.470297,0.2179453286910062,0.10887011772569401
Piedras_Cucas,2020,37.768521,-4.102191,0.3639318331814926,0.15239787972163188
Tobazo,2020,37.555699,-4.041627,0.41171195276062234,0.19184165755965205
Toquillas,2020,37.558716,-4.403826,0.32328760659367384,0.16991104771867122
Torres_de_Albanchez,2020,38.400195,-2.652453,0.40201230549377415,0.1914122673431207
Buenas_noches,2021,36.3896336254593,-5.58834510073453,0.4536083256109595,0.20443533897942093
Fates,2021,36.12025,-5.669833,0.44659153403407104,0.20417215520805365
Marrufo,2021,36.573917,-5.536583,0.45848969001717343,0.20819190938758864
Montecoche,2021,36.2775290209507,-5.54787121675272,0.42644418098182774,0.2002576874049768
Montero,2021,36.47675,-5.600111,0.4275961981668718,0.1802795799041285
M_a1,2020,36.8411111,-2.12935,0.30687452943743715,0.08430685478222619
M_a2,2020,36.8413889,-2.128611111,0.3095472141491751,0.08899001495352159
M_a3,2020,36.8425,-2.1275,0.311681035390157,0.09561081145412839
M_a4,2020,36.84374167,-2.12459722,0.3187961899683456,0.10975104955203611
S_a1,2020,36.84671944,-2.15596111,0.2743581379236297,0.15097776350506384
S_a2,2020,36.84698889,-2.15552222,0.2767359611393932,0.15276426468182966
S_a3,2020,36.84811111,-2.15476944,0.2847479638496035,0.1616986685285348
S_a4,2020,36.85024722,-2.15315,0.2984871634507502,0.17913646354416793
A_b,2020,36.96067778,-1.99682778,0.45888790239078914,0.23050226237016547
A_c,2020,36.948055600000004,-1.952222222,0.3509796395208749,0.17317425351810048
B_a1,2020,36.9988889,-2.051197222,0.3070507143313333,0.1284399309646288
B_a2,2020,36.9988889,-2.050483333,0.3086226496538921,0.1321070877758944
B_a3,2020,36.9988889,-2.049244444,0.3116670300328023,0.13854921447087018
B_a4,2020,37.0002778,-2.046141667,0.3244126651390538,0.1630127464968522
C_b,2020,36.99322778,-2.09266389,0.3658363175324753,0.2021301369449573
E_a1,2020,36.9733333,-2.124508333,0.2627551411874863,0.10965854027729582
E_a2,2020,36.97420278,-2.12474444,0.2703449995827563,0.11721901418104752
E_a3,2020,36.97448611,-2.12864167,0.2774309848744687,0.1244392278518954
E_a4,2020,36.9772222,-2.129525,0.3002071676139392,0.1485744868383168
F_b,2020,36.9166667,-2.053836111,0.30829028468366887,0.1553387301310387
H_a1,2020,36.91945,-2.11865833,0.14222798511087087,0.034308405886909414
I_a1,2020,36.88548611,-2.21665833,0.22898595063959978,0.12378325518279518
I_a2,2020,36.88513611,-2.21679167,0.22901337616049644,0.12400442260334968
I_a3,2020,36.88414167,-2.21739444,0.23016570936518455,0.12447611383570689
I_a4,2020,36.882925,-2.22443056,0.261551065563664,0.1510281697532798
J_a1,2020,36.9002778,-2.125627778,0.23919182490794633,0.11865468438449792
J_a2,2020,36.900141669999996,-2.12482778,0.24340496716141388,0.1254940719911073
J_a3,2020,36.89948611,-2.12394167,0.2516215285518759,0.13958127147470947
J_a4,2020,36.8972222,-2.121111111,0.27726955971680733,0.18155081903861067
K_a1,2020,36.86987222,-2.18835278,0.23407200317795143,0.12274010147661654
K_a2,2020,36.86954167,-2.18778611,0.23723675714489828,0.12477015224243923
K_a3,2020,36.86916111,-2.18677222,0.2422976945565397,0.12897149759783663
K_a4,2020,36.8663889,-2.184111111,0.2603393509469999,0.14485057205233137
L_a1,2020,36.86235556,-2.34627222,0.25643012026020706,0.1577929588937462
L_a2,2020,36.8625,-2.345502778,0.26072616041632923,0.1631248812994415
L_a3,2020,36.86255278,-2.34405,0.2674751429153256,0.17197660965495132
L_a4,2020,36.86258889,-2.33907222,0.2840252840917727,0.1896843882472742
M_b,2020,36.9277778,-2.207577778,0.29477525244321706,0.17889672340141455
O_a1,2020,36.8180556,-2.241861111,0.29705344879969636,0.14027302169138328
O_a2,2020,36.81869444,-2.24262222,0.30316270438184934,0.1472934705048294
O_a3,2020,36.818275,-2.24484722,0.3110147318455362,0.16308363167440298
O_a4,2020,36.8177778,-2.248055556,0.3196488932875979,0.18411104695518696
O_b,2020,36.82933333,-2.26770278,0.36216153495587255,0.23354386056437967
P_b,2020,36.77150556,-2.20498611,0.2506877718691671,0.1713283006859393
P_c,2020,36.73179444,-2.20160833,0.13929557002447363,0.09479017687383541
P_d,2020,36.74422222,-2.12543611,0.16387001407981172,0.1011663388647831
Q_a1,2020,36.8611111,-2.221944444,0.2200346140592542,0.07955966883521015
Q_a2,2020,36.86168611,-2.22181111,0.2193483608938784,0.0787903213542105
Q_a3,2020,36.8622222,-2.22115,0.216983378381298,0.07786290050084352
Q_a4,2020,36.86403333,-2.23081667,0.26009481011828395,0.09661481611029375
Q_b,2020,36.86611389,-2.26642778,0.3537873940334797,0.1626916872128447
R_a1,2020,36.81300278,-2.14320833,0.3249791923937587,0.1421082096641281
R_a2,2020,36.81332778,-2.14251667,0.3287726351622702,0.15121553642406046
R_a3,2020,36.8138889,-2.141380556,0.33489620455167735,0.1667804827411129
R_a4,2020,36.81271389,-2.13728056,0.3694052313766326,0.19739596487257574
R_c,2020,36.76966944,-2.09939722,0.2544819053203166,0.16399296513551584
S_c,2020,36.80610833,-2.08099167,0.42604497943830183,0.2123767146938328
T_a1,2020,36.88289167,-2.10270556,0.34106284151157024,0.12040145773621809
T_a2,2020,36.88316944,-2.10126944,0.3442265182656048,0.12321410873117139
T_a3,2020,36.88390833,-2.10046111,0.3462041207775951,0.1299870314030561
T_a4,2020,36.8863889,-2.098122222,0.3527030413868123,0.15052164537721757
T_b,2020,36.8605556,-2.077777778,0.43295601167747955,0.17574280523488378
U_a1,2020,36.83841667,-2.29284167,0.23586930231836248,0.12598481842457712
U_a2,2020,36.83754722,-2.29262222,0.23516990169120755,0.13270440830253105
U_a3,2020,36.83666944,-2.29302778,0.23139239574008005,0.14207087183084513
U_a4,2020,36.83408333,-2.29376944,0.2205820573180319,0.16766227232378889
X_a1,2020,36.95313333,-2.16442222,0.2560634758379497,0.1100447385856992
X_a2,2020,36.95350278,-2.16483333,0.26109867420850047,0.11438614504151919
X_a3,2020,36.95461389,-2.165133333,0.27273431093564526,0.12545487120780605
X_a4,2020,36.95388056,-2.17100833,0.2888582238975748,0.14999787335504006
A_a1,2020,36.94921111,-2.03045833,0.36496757062771673,0.12417785256203569
A_a2,2020,36.94851389,-2.03102778,0.3633496985247208,0.12949742269015027
A_a3,2020,36.94790278,-2.03203056,0.36030234854193594,0.13686928275647922
A_a4,2020,36.94465,-2.033375,0.3591161692667843,0.15606070468779645
B_b,2020,36.96911944,-2.04489722,0.32998606774936623,0.1744683992627781
E_c,2020,37.01424722,-2.16827778,0.500059698720472,0.19179200874185995
G_c,2020,36.99674167,-2.22740833,0.4951422640980136,0.22049756188502798
G_d,2020,37.03842778,-2.22657222,0.39962753992118394,0.19706075353402688
L_d,2020,37.03556389,-2.29979444,0.3608304438960705,0.17141868825660003
U_d,2020,37.03889444,-2.36883611,0.4307562348032091,0.20510271995971543
BarcaMFC,2012,37.2953,-7.1917,0.13058864342973242,0.046253405361446086
BarcaSNH,2012,37.2949,-7.1903,0.12676919150566693,0.046297926219399634
BonaresSNH,2012,37.332,-6.668,0.13945730924253108,0.08616698315164573
CanalMFC,2012,37.2925,-7.1105,0.14457778496900547,0.037292366133616514
CanalSNH,2012,37.2946,-7.1103,0.13860491848427012,0.03597221570738269
CartayaMFC,2012,37.259,-7.1478,0.10755819267051163,0.053361252829210136
CartayaSNH,2012,37.2625,-7.1436,0.11848847887434957,0.05177923523802756
CetreroMFC,2012,37.313,-7.0985,0.15912969617538997,0.049996039299205694
CetreroSNH,2012,37.314,-7.0932,0.1677287287657267,0.04589848838195513
EstanqueMFC,2012,37.2355,-7.2815,0.08612680627116887,0.04073358093869738
EstanqueSNH,2012,37.2342,-7.2797,0.08527120975429088,0.0414441317248297
GibraleonSNH,2012,37.3804,-6.998,0.18119288845651693,0.06515296963579127
LucenaSNH,2012,37.292,-6.7533,0.16792654157168602,0.08961993851963819
MenajoMFC,2012,37.327,-7.1276,0.15735415960171828,0.05255200000471809
MenajoSNH,2012,37.3265,-7.1279,0.15377060118296368,0.04985249995805322
NieblaSNH,2012,37.4048,-6.68,0.15015588542728037,0.06642314829845773
PinarMFC,2012,37.276,-7.1093,0.23923650623543827,0.11223415355519552
PinarSNH,2012,37.276,-7.1112,0.22749212307793992,0.09882073422765895
RedondelaSNH,2012,37.2192,-7.262,0.07171249800830151,0.029120337911848253
VillablancaSNH,2012,37.2926,-7.3248,0.23925017607003093,0.1189489453112003
VisoSNH,2012,37.439,-5.7408,0.07123056160566452,0.04250738711039653
