code,description,nesting_suitability_small,nesting_suitability_big,foraging_suitability_small_season_1,foraging_suitability_big_season_1,fl_resource_weight_season_1,foraging_suitability_small_season_2,foraging_suitability_big_season_2,fl_resource_weight_season_2,foraging_suitability_small_season_3,foraging_suitability_big_season_3,fl_resource_weight_season_3
111,Formaciones adehesadas de quercíneas y otras frondosas,0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.2,0.2,0.2,0.1
121,Bosques mediterráneos esclerófilos densos,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.2,0.2,0.2,0.1
122,Bosques mediterráneos esclerófilos dispersos,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.2,0.3,0.3,0.1
131,Bosques caducifolios densos,0.7,0.7,0.6,0.7,0.7,0.4,0.4,0.2,0.2,0.2,0.1
132,Bosques caducifolios dispersos,0.8,0.8,0.7,0.8,0.7,0.5,0.5,0.2,0.2,0.2,0.1
141,Bosques de coníferas densas,0.7,0.7,0.6,0.7,0.7,0.4,0.4,0.2,0.2,0.2,0.1
142,Bosques de coníferas dispersas,0.8,0.8,0.8,0.8,0.7,0.4,0.4,0.2,0.2,0.2,0.1
151,Cultivos forestales y otras plantaciones arbóreas densas,0.7,0.7,0.6,0.6,0.7,0.4,0.4,0.2,0.2,0.2,0.1
152,Cultivos forestales y otras plantaciones arbóreas dispersas,0.7,0.7,0.7,0.7,0.7,0.4,0.4,0.2,0.2,0.2,0.1
221,Matorral húmedo (nivel 3),0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.2,0.2,0.2,0.1
222,Matorral húmedo con arbolado aislado,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.2,0.2,0.2,0.1
231,Matorral árido (nivel 3),0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.2,0.2,0.2,0.1
232,Matorral árido con arbolado aislado,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.2,0.2,0.2,0.1
241,Matorral esclerófilo (nivel 3),0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.2,0.2,0.2,0.1
242,Matorral esclerófilo con arbolado aislado,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.2,0.2,0.2,0.1
