longitude,latitude,study_id,site_id,refYear
-3.035396,35.938994,JdA,9555,2019
-5.609765,36.017489,JdA,9556,2019
-5.589106,36.019268,JdA,9557,2019
-5.565249,36.022875,JdA,9558,2019
-5.663098,36.056276,JdA,9559,2019
-5.642207,36.050642,JdA,9560,2019
-5.617096,36.042191,JdA,9561,2019
-5.558097,36.041512,JdA,9562,2019
-5.529023,36.045326,JdA,9563,2019
-5.502351,36.051112,JdA,9564,2019
-5.468902,36.054277,JdA,9565,2019
-5.452783,36.056219,JdA,9566,2019
-5.794261,36.083396,JdA,9567,2019
-5.75919,36.082123,JdA,9568,2019
-5.736452,36.076553,JdA,9569,2019
-5.708695,36.073812,JdA,9570,2019
-5.676721,36.074135,JdA,9571,2019
-5.442755,36.074924,JdA,9572,2019
-5.820407,36.108485,JdA,9573,2019
-5.79768,36.101683,JdA,9574,2019
-5.767827,36.101492,JdA,9575,2019
-5.445379,36.102609,JdA,9576,2019
-5.849435,36.140181,JdA,9577,2019
-5.8272,36.132024,JdA,9578,2019
-5.446493,36.128948,JdA,9579,2019
-5.882872,36.169699,JdA,9580,2019
-5.857231,36.162066,JdA,9581,2019
-5.44436,36.164991,JdA,9582,2019
-5.420556,36.176338,JdA,9583,2019
-5.370943,36.172258,JdA,9584,2019
-5.348692,36.165926,JdA,9585,2019
-6.05374,36.205567,JdA,9586,2019
-6.034409,36.196964,JdA,9587,2019
-6.007291,36.194854,JdA,9588,2019
-5.978017,36.192723,JdA,9589,2019
-5.948135,36.195107,JdA,9590,2019
-5.917007,36.194699,JdA,9591,2019
-5.887943,36.191343,JdA,9592,2019
-5.408234,36.192591,JdA,9593,2019
-5.377495,36.19193,JdA,9594,2019
-5.348144,36.191515,JdA,9595,2019
-5.330602,36.199388,JdA,9596,2019
-6.060281,36.225409,JdA,9597,2019
-5.325544,36.223761,JdA,9598,2019
-6.08509,36.261503,JdA,9599,2019
-6.067107,36.252024,JdA,9600,2019
-5.318503,36.251937,JdA,9601,2019
-5.29682,36.257053,JdA,9602,2019
