site_id,latitude,longitude,refYear,Lonsdorf_big,Lonsdorf_small,Lonsdorf_MEAN
1,35.938994111858705,-3.0353964501057127,2019,1.4179723067115327e-8,2.6284584493712185e-7,1.385127840021186e-7
2,36.01748916207427,-5.609765112174526,2019,0.09230714906146305,0.03820947036478255,0.0652583097131228
3,36.019267611501526,-5.5891057763692045,2019,0.16307696552660833,0.13220006182488325,0.1476385136757458
4,36.022874834550656,-5.565248783738072,2019,0.16574418167046356,0.10756358151376313,0.13665388159211334
5,36.05627551171043,-5.663098008406337,2019,0.14010419022860776,0.06110103370158467,0.10060261196509622
6,36.05064212355201,-5.642207194350561,2019,0.15687523036982626,0.09594000452184383,0.12640761744583504
7,36.042190684792054,-5.617096403957078,2019,0.22011777809778818,0.1195460421665172,0.16983191013215268
8,36.04134298164601,-5.587942999994688,2019,0.34219403224033007,0.18280388834349645,0.2624989602919133
9,36.04151226308408,-5.558096965077791,2019,0.32325001822441574,0.16502223439265923,0.24413612630853748
10,36.0453255068748,-5.529023407456154,2019,0.27352865922394903,0.20241730544284484,0.23797298233339692
11,36.051112304691664,-5.502350909271809,2019,0.2340178422731147,0.15102714219352872,0.1925224922333217
12,36.05427716856952,-5.468902064136972,2019,0.17271098879078953,0.12197719766447859,0.14734409322763406
13,36.0562189672446,-5.452782668131232,2019,0.12741434918563768,0.07863936681843489,0.10302685800203629
14,36.08339583380156,-5.794260667675765,2019,0.10703149507573899,0.09956327670997024,0.10329738589285462
15,36.08212253276468,-5.759190311476464,2019,0.18359009726683279,0.09096607697986825,0.13727808712335052
16,36.07655301717823,-5.736452151017672,2019,0.23241752526654183,0.18789868373887558,0.21015810450270872
17,36.07381167736606,-5.708694610233982,2019,0.26033533092806493,0.18493733032759893,0.22263633062783195
18,36.07413477182921,-5.6767211394086825,2019,0.29137698884403557,0.16553093123259113,0.22845396003831336
19,36.0713429809128,-5.647943000011167,2019,0.32189656896997004,0.1921477602102713,0.25702216459012067
20,36.07134298091309,-5.617942999993128,2019,0.33762202626857346,0.1347702966990312,0.23619616148380235
21,36.07134298091467,-5.587942999991844,2019,0.4146141413123518,0.1896552038058935,0.30213467255912263
22,36.07134298091672,-5.5579430000012735,2019,0.4336326156926447,0.22151474272842653,0.3275736792105356
23,36.071342980914025,-5.527943000005966,2019,0.4031178136987965,0.17428514878832135,0.28870148124355893
24,36.07134298091255,-5.497942999993662,2019,0.37815571888077576,0.20146442773019838,0.2898100733054871
25,36.07134298091883,-5.467943000004571,2019,0.3259482546911441,0.1881685540456649,0.2570584043684045
26,36.07492398371122,-5.442755337314057,2019,0.17834121712324022,0.1692542635833725,0.17379774035330636
27,36.10848469476518,-5.8204073058139025,2019,0.09817381600278866,0.06599494656335728,0.08208438128307297
28,36.101683233117846,-5.797680045245083,2019,0.2287512432003475,0.16747131901316206,0.1981112811067548
29,36.10149248197025,-5.767827339089629,2019,0.3217464212343752,0.17010143233359984,0.2459239267839875
30,36.10134298019488,-5.737942999979616,2019,0.3753049405578683,0.17471059255989177,0.27500776655888004
31,36.101342980195234,-5.707943000011139,2019,0.39141172020281395,0.17303830604491424,0.2822250131238641
32,36.101342980194666,-5.677943000000785,2019,0.42447278406132066,0.20266807257417055,0.3135704283177456
33,36.10134298019361,-5.6479430000102235,2019,0.4331740907703047,0.210691328735988,0.32193270975314636
34,36.10134298019547,-5.6179429999907695,2019,0.4161378871145887,0.18659317967149175,0.30136553339304023
35,36.101342980192314,-5.587942999996615,2019,0.4546741935765585,0.21811124987129077,0.33639272172392465
36,36.10134298018862,-5.557942999999027,2019,0.45333183304930796,0.20754873576216498,0.3304402844057365
37,36.101342980191234,-5.527943000008323,2019,0.43968695300037,0.19945012114815835,0.31956853707426414
38,36.10134298019082,-5.497942999994203,2019,0.4078932425378433,0.21656581169020436,0.31222952711402385
39,36.101342980190665,-5.467942999994651,2019,0.2759873972134796,0.1371062911615346,0.2065468441875071
40,36.102608663729576,-5.44537949482425,2019,0.12095309618580974,0.037819342670754104,0.07938621942828192
41,36.14018069969518,-5.849435459632797,2019,0.11486905624384199,0.10278350420850882,0.10882628022617541
42,36.132023568492606,-5.827199647569593,2019,0.06292357368892974,0.00816395049099917,0.03554376208996446
43,36.1313429794282,-5.797943000014971,2019,0.15670398850583292,0.025098440713607152,0.09090121460972003
44,36.131342979429334,-5.767942999998625,2019,0.3247459242858464,0.2240941467148035,0.27442003550032495
45,36.131342979424474,-5.737942999988802,2019,0.36336398592579805,0.22500878151661946,0.29418638372120876
46,36.13134297942084,-5.707943000006947,2019,0.37602593945348534,0.1793940221967654,0.2777099808251254
47,36.13134297942634,-5.67794299999743,2019,0.43482010068420635,0.20120881810274646,0.3180144593934764
48,36.13134297942978,-5.647943000009942,2019,0.4473022073655708,0.22534687438492076,0.33632454087524577
49,36.13134297942903,-5.617942999989353,2019,0.44467243790747124,0.20170484696881616,0.3231886424381437
50,36.13134297943069,-5.587943000000327,2019,0.4630310897254498,0.21475558569998746,0.3388933377127186
51,36.131342979429405,-5.5579430000029335,2019,0.46604853088861026,0.212317573335467,0.33918305211203864
52,36.13134297942798,-5.527943000002599,2019,0.44228773386594694,0.2046452887666699,0.32346651131630844
53,36.13134297942703,-5.497943000002013,2019,0.3754123473632591,0.20232494483049396,0.28886864609687657
54,36.131342979424765,-5.46794299999054,2019,0.16930150912878167,0.06568728341265126,0.11749439627071646
55,36.12894825817407,-5.446492706828812,2019,0.05889689970883863,0.023467022852621908,0.04118196128073027
