study_id,longitude,latitude
JdA,-5.592943000007843,36.026342991983874
JdA,-5.612942999982849,36.04634299181038
JdA,-5.592943000009622,36.04634299181409
JdA,-5.572943000003479,36.0463429918149
JdA,-5.552942999995268,36.04634299180767
JdA,-5.532943000005428,36.046342991809176
JdA,-5.652942999991108,36.06634299155197
JdA,-5.632943000013172,36.0663429915529
JdA,-5.612942999991269,36.06634299155377
JdA,-5.592942999989558,36.066342991557654
JdA,-5.572943000018583,36.066342991560084
JdA,-5.552942999997486,36.06634299155601
JdA,-5.532943000003167,36.066342991554535
JdA,-5.512942999988555,36.06634299155738
JdA,-5.49294300000676,36.06634299155838
JdA,-5.472943000012208,36.066342991558194
JdA,-5.732942999994774,36.08634299134351
JdA,-5.712943000018112,36.086342991345425
JdA,-5.692942999984473,36.08634299135348
JdA,-5.67294300000377,36.086342991357725
JdA,-5.652942999999108,36.08634299135513
JdA,-5.632943000000755,36.086342991357085
JdA,-5.612942999998001,36.08634299135992
JdA,-5.592942999988868,36.08634299135209
JdA,-5.572943000017222,36.086342991351
JdA,-5.552942999992547,36.0863429913592
JdA,-5.532943000014277,36.086342991356645
JdA,-5.512942999979971,36.086342991352126
JdA,-5.4929430000107144,36.08634299135416
JdA,-5.472943000005283,36.08634299135629
JdA,-5.452942999995106,36.086342991351636
JdA,-5.792943000001759,36.10634299114228
JdA,-5.772942999990751,36.106342991139684
JdA,-5.752943000003968,36.1063429911411
JdA,-5.73294299998645,36.10634299114528
JdA,-5.712943000015363,36.10634299115059
JdA,-5.692942999979633,36.10634299114748
JdA,-5.672943000012413,36.10634299114076
JdA,-5.652942999991954,36.10634299114238
JdA,-5.632943000005825,36.106342991141794
JdA,-5.612942999998767,36.10634299113513
JdA,-5.592942999992001,36.106342991140416
JdA,-5.572943000007579,36.10634299114575
JdA,-5.552943000000073,36.10634299113895
JdA,-5.5329430000030255,36.10634299114394
JdA,-5.512942999992221,36.1063429911478
JdA,-5.492943000011627,36.10634299113718
JdA,-5.472943000004839,36.10634299113474
JdA,-5.4529429999930965,36.106342991141
JdA,-5.8129430000084295,36.12634299091472
JdA,-5.7929430000048185,36.12634299091678
JdA,-5.77294299999268,36.126342990916115
JdA,-5.752943000006481,36.126342990911795
JdA,-5.732942999980233,36.12634299091003
JdA,-5.712943000014743,36.12634299090919
JdA,-5.69294299998817,36.12634299090712
JdA,-5.672943000011451,36.1263429909089
JdA,-5.652942999986296,36.12634299091161
JdA,-5.6329430000118625,36.12634299091195
JdA,-5.6129430000002385,36.126342990913706
JdA,-5.592942999983804,36.126342990912804
JdA,-5.572943000008387,36.126342990912285
JdA,-5.5529430000064295,36.126342990914424
JdA,-5.53294299998965,36.12634299091402
JdA,-5.512943000001414,36.126342990912896
JdA,-5.492943000019487,36.126342990912384
JdA,-5.472942999999439,36.126342990913216
JdA,-5.83294299998926,36.14634299070074
JdA,-5.812943000004409,36.14634299070057
JdA,-5.79294299999964,36.14634299070451
JdA,-5.77294299999824,36.14634299070494
JdA,-5.752943000002048,36.146342990708504
JdA,-5.732942999990443,36.14634299070651
JdA,-5.712943000008601,36.14634299070469
JdA,-5.692942999991416,36.146342990708646
JdA,-5.672943000005555,36.14634299070858
JdA,-5.65294299999866,36.14634299070167
JdA,-5.6329430000024665,36.146342990699395
JdA,-5.612942999997449,36.14634299070558
JdA,-5.592942999994169,36.146342990701534
JdA,-5.572943000005106,36.146342990697434
JdA,-5.552942999997415,36.14634299070332
JdA,-5.532943000005224,36.146342990699445
JdA,-5.512942999994861,36.14634299069467
JdA,-5.4929430000111426,36.1463429907049
