code,description,nesting_suitability_small,nesting_suitability_big,foraging_suitability_small_season_1,foraging_suitability_big_season_1,fl_resource_weight_season_1,foraging_suitability_small_season_2,foraging_suitability_big_season_2,fl_resource_weight_season_2,foraging_suitability_small_season_3,foraging_suitability_big_season_3,fl_resource_weight_season_3
111,Formaciones adehesadas de quercíneas y otras frondosas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Bosques mediterráneos esclerófilos densos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Bosques mediterráneos esclerófilos dispersos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Bosques caducifolios densos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Bosques caducifolios dispersos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Bosques de coníferas densas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Bosques de coníferas dispersas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Cultivos forestales y otras plantaciones arbóreas densas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Cultivos forestales y otras plantaciones arbóreas dispersas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Matorral húmedo (nivel 3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Matorral húmedo con arbolado aislado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,Matorral árido (nivel 3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,Matorral árido con arbolado aislado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Matorral esclerófilo (nivel 3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Matorral esclerófilo con arbolado aislado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,Lastonares y pastizales de alta montaña (nivel 3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,"Herbazales, juncales y prados húmedos (nivel 3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,"Herbazales, juncales y prados húmedos con arbolado aislado (nivel 3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,Espartales y cerrillares áridos y semiáridos (nivel 3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,Espartales y cerrillares áridos y semiáridos con arbolado aislado (nivel 3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,Bosques dunares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,Cultivos forestales sobre dunas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,Matorrales dunares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"Marismas, lagunas costeras; salinas tradicionales y albuferas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,Bosques en galería,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,Matorrales fluviales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,"Cañaverales, juncales; carrizales y eneales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,Olivar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,Frutal de cáscara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
